id_fonte;pais_codigo;ano;genero;taxa_prevalencia
;;2012;SEX_MLE;5.61
;;2001;SEX_BTSX;20.69
;;2019;SEX_MLE;10.21
;;2013;SEX_BTSX;4.54
;;2000;SEX_MLE;2.78
;;2016;SEX_MLE;6.53
;;2017;SEX_BTSX;13.05
;;2014;SEX_BTSX;0.83
;;2014;SEX_FMLE;5.71
;;2015;SEX_MLE;14.38
;;2001;SEX_BTSX;7.27
;;2013;SEX_MLE;29.7
;;2020;SEX_FMLE;0.7
;;2008;SEX_FMLE;0.36
;;2020;SEX_FMLE;3.37
;;2019;SEX_FMLE;4.56
;;2020;SEX_BTSX;7.55
;;2019;SEX_MLE;2.85
;;2010;SEX_BTSX;11.61
;;2012;SEX_MLE;44.88
;;2017;SEX_BTSX;0.88
;;2020;SEX_FMLE;0.67
;;2017;SEX_FMLE;2.99
;;2002;SEX_BTSX;11.4
;;2010;SEX_BTSX;15.55
;;2014;SEX_BTSX;6.37
;;2020;SEX_MLE;32.49
;;2012;SEX_BTSX;4.45
;;2007;SEX_BTSX;10.12
;;2004;SEX_FMLE;2.26
;;2015;SEX_BTSX;1.19
;;2014;SEX_BTSX;9.08
;;2013;SEX_MLE;23.64
;;2002;SEX_MLE;12.04
;;2018;SEX_FMLE;10.34
;;2001;SEX_FMLE;8.41
;;2021;SEX_FMLE;3.12
;;2004;SEX_FMLE;2.25
;;2021;SEX_MLE;6.06
;;2013;SEX_FMLE;6.99
;;2010;SEX_FMLE;5.01
;;2016;SEX_MLE;3.0
;;2015;SEX_FMLE;4.95
;;2019;SEX_BTSX;11.34
;;2002;SEX_FMLE;2.22
;;2017;SEX_BTSX;8.31
;;2001;SEX_MLE;8.36
;;2000;SEX_BTSX;13.71
;;2015;SEX_MLE;17.97
;;2007;SEX_FMLE;4.17
;;2004;SEX_MLE;23.86
;;2007;SEX_BTSX;7.98
;;2012;SEX_BTSX;11.76
;;2005;SEX_MLE;10.76
;;2010;SEX_FMLE;3.6
;;2003;SEX_MLE;36.8
;;2004;SEX_BTSX;22.26
;;2016;SEX_BTSX;14.65
;;2014;SEX_FMLE;0.74
;;2018;SEX_BTSX;8.28
;;2006;SEX_MLE;18.82
;;2006;SEX_BTSX;7.84
;;2010;SEX_MLE;15.27
;;2010;SEX_FMLE;5.33
;;2018;SEX_FMLE;2.24
;;2021;SEX_FMLE;7.95
;;2020;SEX_BTSX;13.55
;;2016;SEX_MLE;7.05
;;2004;SEX_MLE;1.49
;;2003;SEX_MLE;4.6
;;2017;SEX_FMLE;4.48
;;2021;SEX_MLE;32.93
;;2006;SEX_BTSX;9.52
;;2001;SEX_MLE;39.27
;;2014;SEX_MLE;1.7
;;2007;SEX_FMLE;7.51
;;2019;SEX_FMLE;2.0
;;2013;SEX_MLE;23.74
;;2006;SEX_FMLE;1.62
;;2006;SEX_BTSX;2.75
;;2012;SEX_MLE;9.27
;;2014;SEX_MLE;17.96
;;2018;SEX_FMLE;7.74
;;2005;SEX_MLE;3.06
;;2021;SEX_FMLE;0.92
;;2017;SEX_FMLE;4.66
;;2019;SEX_MLE;7.72
;;2010;SEX_MLE;11.35
;;2018;SEX_FMLE;4.59
;;2005;SEX_FMLE;0.65
;;2006;SEX_MLE;19.1
;;2015;SEX_MLE;6.12
;;2008;SEX_MLE;14.7
;;2001;SEX_BTSX;15.69
;;2017;SEX_MLE;3.86
;;2014;SEX_FMLE;4.12
